code_alea,alea,code_municipalite,municipalite,precision_localisation,info_compl_localisation,severite,date_signalement,date_debut,date_debut_imprecise,commentaire_date_debut,date_fin,coord_x,coord_y
"101",Mouvement de terrain,"52062",Saint-Cuthbert,Très précise,Glissement de terrain,Menace faible ou non-existante à la vie ou la propriété,2020-04-14,2020-04-14,Non,,2021-11-22,-73.204362,46.142482
"101",Mouvement de terrain,"52062",Saint-Cuthbert,Très précise,Présence de fissures aux côtés d’un bâtiment agricole situé en sommet de talus,Menace faible ou non-existante à la vie ou la propriété,2021-10-06,2021-09-27,Non,,2021-11-22,-73.21537,46.15788
"8",Inondation,"52062",Saint-Cuthbert,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-26,2021-03-26,Non,,2021-10-26,-73.220159,46.150972
"138",Orage violent,"63055",Saint-Calixte,Imprécise,,Menace possible à la vie ou à la propriété,2022-05-24,2022-05-21,Non,,,-73.841484,45.946918
"101",Mouvement de terrain,"63055",Saint-Calixte,Très précise,Suffosion,Menace faible ou non-existante à la vie ou la propriété,2020-05-04,,Oui,La durée de l'inondation est inconnue et le propriétaire ne peut être certain de la date exacte.,2021-01-26,-73.844644,45.935023
"101",Mouvement de terrain,"63055",Saint-Calixte,Très précise,Mouvement de sol,Menace faible ou non-existante à la vie ou la propriété,2020-05-04,2020-04-14,Non,,2021-03-23,-73.813296,45.907359
"8",Inondation,"63055",Saint-Calixte,Imprécise,,Menace importante à la vie ou à la propriété,2020-04-14,2020-04-13,Non,,2021-01-26,-73.841484,45.946918
"101",Mouvement de terrain,"35050",Sainte-Thècle,Très précise,"Le glissement a eu lieu en bordure du ruisseau sur la terre agricole située en face du 2441, chemin Saint-Michel Nord",Menace faible ou non-existante à la vie ou la propriété,2020-12-28,2020-12-26,Oui,On ne connait pas le moment exact du glissement,2021-11-02,-72.501837,46.834051
"25",Panne d'électricité,"45072",Magog,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-12-13,2021-12-11,Non,,2022-02-23,-72.142437,45.279003
"138",Orage violent,"77050",Morin-Heights,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-24,2022-05-21,Non,,2022-06-08,-74.248425,45.901955
"9",Érosion,"39020",Saint-Rémi-de-Tingwick,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-09-21,2020-01-01,Oui,Au cours du mois d'août 2020,2021-01-19,-71.888405,45.806061
"8",Inondation,"39020",Saint-Rémi-de-Tingwick,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-27,2021-03-27,Non,,2021-08-18,-71.820219,45.864454
"25",Panne d'électricité,"83045",Blue Sea,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-12-13,2021-12-11,Non,,2022-02-23,-76.05628,46.181401
"101",Mouvement de terrain,"39085",Saint-Albert,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-05-05,,Oui,,2021-05-27,-72.082746,46.004233
"101",Mouvement de terrain,"71020",Saint-Polycarpe,Très précise,,Gravité inconnue,2020-09-17,,Oui,Surveillance depuis le printemps,2021-04-19,-74.28334,45.283346
"101",Mouvement de terrain,"71020",Saint-Polycarpe,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-05-07,,Oui,printemps 2017,2022-03-08,-74.372218,45.329056
"248",Alimentation publique en eau potable,"99120",Puvirnituq,Précise,,Menace faible ou non-existante à la vie ou la propriété,2022-02-16,2022-02-15,Oui,"L'ARK a été mise au courant le 15 février, la situation était connue du village avant",2022-02-23,-77.265751,60.042186
"248",Alimentation publique en eau potable,"99120",Puvirnituq,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-02-28,2022-02-28,Non,,2022-03-09,-77.270241,60.034817
"99",Tremblement de terre,"99120",Puvirnituq,Imprécise,,Gravité inconnue,2021-06-10,2021-06-10,Non,,2021-06-10,-77.270241,60.034817
"8",Inondation,"21035",Château-Richer,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2020-12-25,2020-12-25,Non,,2021-03-26,-71.017593,46.970055
"101",Mouvement de terrain,"41065",Westbury,Très précise,,Menace possible à la vie ou à la propriété,2022-06-09,2022-06-09,Oui,"Signalement le 2022-06-09, mais le mouvement de terrain serait survenu durant la tempête automnale du 31 octobre 2019.",,-71.674,45.500809
"88",Incendie industriel,"41065",Westbury,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2020-11-20,,,,2021-03-15,-71.633622,45.491012
"8",Inondation,"95040",Portneuf-sur-Mer,Précise,,Menace faible ou non-existante à la vie ou la propriété,2021-01-04,,Oui,Après la pluie du 25 décembre,2021-06-22,-69.420676,48.724429
"8",Inondation,"91020",Chambord,Imprécise,,Menace possible à la vie ou à la propriété,2022-05-22,2022-05-22,Non,,2022-07-13,-72.05954,48.427567
"9",Érosion,"17070",Saint-Jean-Port-Joli,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-04-15,2020-04-10,Non,,2022-01-17,-70.319834,47.160525
"9",Érosion,"17070",Saint-Jean-Port-Joli,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-04-15,2020-04-10,Non,,2022-01-17,-70.319579,47.160516
"9",Érosion,"17070",Saint-Jean-Port-Joli,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-04-15,2020-04-10,Non,,2022-01-17,-70.318738,47.160618
"9",Érosion,"17070",Saint-Jean-Port-Joli,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-05-06,2020-04-10,Non,,2022-01-17,-70.314372,47.166683
"171",Vent violent,"22030",Lac-Delage,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2020-08-05,2020-08-05,Non,,2021-01-07,-71.402478,46.968627
"25",Panne d'électricité,"09025",Saint-Gabriel-de-Rimouski,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-04-23,2021-04-23,Non,,2021-04-26,-68.175767,48.424603
"25",Panne d'électricité,"80065",Mayo,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-05-25,2022-05-21,Non,,,-75.346275,45.663002
"101",Mouvement de terrain,"27060",Tring-Jonction,Très précise, lot 4 375 057.,Menace faible ou non-existante à la vie ou la propriété,2021-04-30,,,,2021-09-29,-70.967077,46.282472
"39",Feu de forêt,"54017",Saint-Damase,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-05-16,2021-05-16,Non,,2021-05-17,-73.00642,45.525545
"154",Fermeture de pont,"79115",Sainte-Anne-du-Lac,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-04-14,2022-04-14,Non,,2022-06-21,-75.32315,46.880613
"8",Inondation,"79115",Sainte-Anne-du-Lac,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-30,2021-03-29,Non,,2021-10-26,-75.32315,46.880613
"156",Accident de voiture,"67035",Saint-Constant,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-01-17,2022-01-17,Non,,2022-01-18,-73.571724,45.371098
"101",Mouvement de terrain,"67035",Saint-Constant,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-18,2021-03-18,Non,,2021-10-15,-73.569733,45.371933
"8",Inondation,"67035",Saint-Constant,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-03-18,2022-03-17,Non,,2022-04-12,-73.571724,45.371098
"248",Alimentation publique en eau potable,"38028",Manseau,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-02-24,2021-02-24,Non,,2021-05-11,-72.00262,46.369373
"10",Matières dangereuses,"38028",Manseau,Imprécise,,Menace possible à la vie ou à la propriété,2021-01-15,2021-01-14,Non,,2021-03-11,-72.00262,46.369373
"8",Inondation,"42005",Stoke,Précise,,Menace faible ou non-existante à la vie ou la propriété,2022-02-18,2022-02-18,Non,,2022-03-15,-71.807457,45.535578
"156",Accident de voiture,"60028",L'Assomption,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-01-19,2022-01-19,Non,,2022-01-31,-73.42725,45.848084
"156",Accident de voiture,"60028",L'Assomption,Très précise,,Menace possible à la vie ou à la propriété,2021-02-05,2021-02-05,Non,,2021-03-23,-73.408095,45.805114
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-10-16,,Oui,,2021-01-29,-73.437942,45.828497
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,,Menace possible à la vie ou à la propriété,2021-09-20,,Oui,,2022-03-21,-73.423275,45.836484
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,Mouvement de sol,Menace faible ou non-existante à la vie ou la propriété,2021-03-24,,Oui,,2021-10-26,-73.446459,45.839521
