no_seq_observation,id_reseau,date_observation,code_municipalite,nom,urgence,certitude,type,severite,etat,imprecision
"194",TSGEO501,2012/12/15 09:30:00,"26030",Sainte-Marie,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
"195",TSGEO501,2012/12/19 22:59:00,"27043",Saint-Joseph-de-Beauce,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
"196",TSGEO501,2012/12/15 12:00:00,"27050",Saint-Joseph-des-Érables,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
"197",TSGEO501,2012/12/15 12:30:00,"27050",Saint-Joseph-des-Érables,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
"198",TSGEO501,2012/12/15 11:45:00,"27050",Saint-Joseph-des-Érables,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
"199",TSGEO501,2012/12/15 11:30:00,"26015",Vallée-Jonction,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
"200",TSGEO501,2012/12/15 11:30:00,"26015",Vallée-Jonction,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
"201",TSGEO501,2012/12/15 11:15:00,"26015",Vallée-Jonction,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
"202",TSGEO501,2012/12/15 11:00:00,"26030",Sainte-Marie,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
"204",TSGEO501,2012/12/15 10:00:00,"26030",Sainte-Marie,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
"207",TSGEO501,2012/12/15 10:15:00,"26030",Sainte-Marie,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
"213",TSGEO501,2012/12/15 10:30:00,"26030",Sainte-Marie,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"214",LEGS02,2012/12/15 09:45:00,"26030",Sainte-Marie,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"215",LEGS02,2012/12/15 09:45:00,"26030",Sainte-Marie,Prévue,Observé,Autre,Inconnue,Actuel,aucune
"219",OTIC01,2013/01/22 14:30:00,"45043",Hatley,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"220",OTIC01,2013/01/21 14:15:00,"45043",Hatley,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"221",OTIC01,2013/01/21 01:30:00,"44080",Waterville,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"222",OTIC01,2013/01/21 13:45:00,"45055",Hatley,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"223",OTIC01,2013/01/14 14:30:00,"44080",Waterville,Immédiate,Observé,Autre,Inconnue,Actuel,aucune
"224",OTIC01,2013/01/21 15:00:00,"43027",Sherbrooke,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"225",OTIC01,2013/01/21 13:30:00,"43027",Sherbrooke,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"226",OTIC01,2013/01/21 11:15:00,"41038",Cookshire-Eaton,Prévue,Observé,Autre,Inconnue,Actuel,aucune
"227",OTIC01,2013/01/14 12:15:00,"41038",Cookshire-Eaton,Passée,Observé,Autre,Inconnue,Actuel,aucune
"228",OTIC01,2013/01/21 11:30:00,"41038",Cookshire-Eaton,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"229",OTIC01,2013/01/14 12:00:00,"41038",Cookshire-Eaton,Passée,Observé,Autre,Inconnue,Actuel,aucune
"230",OTIC01,2013/01/21 10:30:00,"41070",Bury,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"231",OTIC01,2013/01/21 10:45:00,"41070",Bury,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"232",OTIC01,2013/01/21 10:15:00,"41117",Dudswell,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"233",OTIC01,2013/01/21 09:15:00,"41098",Weedon,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"237",HUAC01,2013/01/23 14:30:00,"46078",Bromont,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"339",CLTUR003,2013/03/12 15:37:00,"49085",Sainte-Brigitte-des-Saults,Inconnue,Observé,Autre,Mineure,Actuel,aucune
"392",dufm04,2013/03/14 01:45:00,"14065",Rivière-Ouelle,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"393",dufm04,2013/03/14 01:45:00,"14065",Rivière-Ouelle,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"394",dufm04,2013/03/14 01:45:00,"14065",Rivière-Ouelle,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"395",dufm04,2013/03/14 14:00:00,"14070",Saint-Pacôme,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"396",dufm04,2013/03/14 02:00:00,"14070",Saint-Pacôme,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"397",dufm04,2013/03/14 01:45:00,"14065",Rivière-Ouelle,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"398",dufm04,2013/03/14 01:45:00,"14065",Rivière-Ouelle,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"399",dufm04,2013/03/14 04:00:00,"14080",Saint-Onésime-d'Ixworth,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"400",dufm04,2013/03/14 04:00:00,"14080",Saint-Onésime-d'Ixworth,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"410",dufm04,2013/03/14 16:00:00,"14050",Kamouraska,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"411",dufm04,2013/03/14 10:00:00,"12043",L'Isle-Verte,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"559",DAMER002,2013/04/04 16:27:00,"41098",Weedon,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"628",TSGEO501,2013/04/11 20:34:46,"26063",Saint-Isidore,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
"733",EXLAPM16,2013/06/20 10:54:09,"71050",Les Cèdres,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"734",LEGS02,2013/06/20 11:32:00,"71050",Les Cèdres,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"735",EXLAPM16,2013/06/20 11:57:58,"71040",Coteau-du-Lac,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"736",EXLAPM16,2013/06/20 11:19:41,"71040",Coteau-du-Lac,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"737",EXLAPM16,2013/06/20 11:57:58,"71040",Coteau-du-Lac,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"739",EXLEGS02,2013/06/24 10:17:27,"05070",New Richmond,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"778",LAPM16,2012/06/18 00:00:00,"54110",Saint-Jude,Inconnue,Observé,Mouvement de terrain,Inconnue,Actuel,aucune
"785",GIGN02,2013/10/22 10:54:00,"57068",Saint-Denis-sur-Richelieu,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
"1446",BILJ02,2014/04/14 09:40:00,"82010",,Inconnue,Observé,Mouvement de terrain,Mineure,Actuel,aucune
