"Station Name","Province","Latitude","Longitude","Elevation","Climate ID","WMO Identifier","TC Identifier","First Year","Last Year","HLY First Year","HLY Last Year","DLY First Year","DLY Last Year","MLY First Year","MLY Last Year"
"(AE) BOW SUMMIT","ALBERTA","51.70","-116.47","2080.00","3050PPF","","","1998","2007","","","1998","2007","1998","2007"
"100 MILE HOUSE","BRITISH COLUMBIA","51.65","-121.27","929.60","1095790","","","1957","1959","","","1957","1959","1957","1959"
"100 MILE HOUSE","BRITISH COLUMBIA","51.65","-121.30","1059.20","1165791","","","1970","1999","","","1970","1999","1970","1999"
"100 MILE HOUSE 6NE","BRITISH COLUMBIA","51.68","-121.22","928.00","1165793","","","1987","2022","","","1987","2022","1987","2007"
"108 MILE HOUSE","BRITISH COLUMBIA","51.75","-121.33","957.10","1095796","","","1970","1973","","","1970","1973","1970","1973"
"108 MILE HOUSE ABEL LAKE","BRITISH COLUMBIA","51.62","-121.26","1005.00","109E7R6","","","1987","2020","","","1987","2020","1987","2007"
"108 MILE HOUSE WATSON LAKE","BRITISH COLUMBIA","51.70","-121.33","890.00","116N7R6","","","1987","1989","","","1987","1989","1987","1989"
"150 MILE HOUSE","BRITISH COLUMBIA","52.12","-121.93","737.60","1095820","","","1947","1963","","","1947","1963","1947","1963"
"150 MILE HOUSE 7N","BRITISH COLUMBIA","52.22","-122.00","883.90","1095821","","","1969","1975","","","1969","1975","1969","1975"
"26 MILE DEPOT","NEWFOUNDLAND","48.42","-57.07","266.70","8403990","","","1962","1962","","","1962","1962","1962","1962"
"70 MILE HOUSE","BRITISH COLUMBIA","51.30","-121.40","1079.90","1167191","","","1974","1987","","","1974","1987","1974","1987"
"ABBEY","SASKATCHEWAN","50.70","-108.78","694.90","4020020","","","1956","2008","","","1956","2008","1956","2007"
"ABBOTSFORD","BRITISH COLUMBIA","49.02","-122.33","","1100015","","","1956","1956","","","1956","1956","1956","1956"
"ABBOTSFORD A","BRITISH COLUMBIA","49.03","-122.36","59.10","1100031","71108","YXX","2011","2022","2011","2022","2012","2022","",""
"ABBOTSFORD A","BRITISH COLUMBIA","49.03","-122.36","59.10","1100030","71108","YXX","1944","2012","1953","2012","1944","2012","1944","2012"
"ABBOTSFORD A","BRITISH COLUMBIA","49.03","-122.36","59.10","1100032","","YXX","2016","2022","2016","2022","2018","2022","",""
"ABBOTSFORD EAST","BRITISH COLUMBIA","49.03","-122.25","7.60","1100035","","","1960","1962","","","1960","1962","1960","1962"
"ABBOTSFORD KING ROAD","BRITISH COLUMBIA","49.03","-122.30","61.00","1100037","","","1968","1973","","","1968","1973","1968","1973"
"ABBOTSFORD UPPER SUMAS","BRITISH COLUMBIA","49.05","-122.27","9.10","1100040","","","1935","1946","","","1935","1946","1935","1946"
"ABEE AGDM","ALBERTA","54.28","-112.97","664.00","3010010","71285","XAF","1990","2022","1990","2022","2002","2022","2002","2007"
"ABERCORN","QUEBEC","45.03","-72.67","149.40","7020040","","","1950","1985","","","1950","1985","1950","1985"
"ABERCROMBIE POINT","NOVA SCOTIA","45.65","-62.72","10.70","8200015","","","1973","1978","","","1973","1978","1973","1978"
"ABERDEEN","SASKATCHEWAN","52.40","-106.17","518.20","4050037","","","1987","1991","","","1987","1991","1987","1991"
"ABERFELDIE","BRITISH COLUMBIA","49.50","-115.37","804.70","1150060","","","1950","1982","","","1950","1982","1950","1982"
"ABITIBI CAMP 11","ONTARIO","48.93","-89.35","442.00","6040010","","","1978","1983","","","1978","1983","1978","1981"
"ABITIBI CAMP 11","ONTARIO","48.85","-89.12","491.00","6040011","","","1983","1988","","","1983","1988","1983","1988"
"ABITIBI CAMP 228","ONTARIO","48.93","-89.25","472.40","6040018","","","1969","1978","","","1969","1978","1969","1978"
"ABITIBI CAMP 230","ONTARIO","49.35","-89.37","457.20","6040020","","","1969","1991","","","1969","1991","1969","1991"
"ABITIBI CAMP 300","ONTARIO","49.63","-89.75","426.70","6040022","","","1978","1986","","","1978","1986","1978","1986"
"ABITIBI CANYON","ONTARIO","49.88","-81.57","204.20","6070027","","","1931","1963","","","1931","1963","1931","1963"
"ABITIBI POST","QUEBEC","48.72","-79.37","259.10","7090050","","","1896","1936","","","1896","1936","1896","1936"
"ACADIA FOREST EXP ST","NEW BRUNSWICK","45.99","-66.36","54.00","8100100","","","1955","2010","","","1955","2010","1955","2006"
"ACADIA VALLEY","ALBERTA","51.18","-110.23","732.00","3020018","","","1980","1991","","","1980","1991","1980","1991"
"ACADIA VALLEY","ALBERTA","51.07","-110.32","735.00","3020035","71048","PAC","2009","2022","2009","2022","2009","2022","",""
"ACADIA VALLEY CDA EPF","ALBERTA","51.07","-110.13","","3020022","","","1965","1965","","","1965","1965","1965","1965"
"ACADIA VALLEY EXP ST","ALBERTA","51.08","-110.28","712.90","3020020","","","1954","1962","","","1954","1962","1954","1962"
