Nombre de jour hivernal <-25 °C,Ensemble de la province de Québec,01-Bas-St-Laurent,02-Saguenay-Lac-St-Jean,03-Capitale-Nationale,04- Mauricie,05 - Estrie,06 - Montréal,07- Outaouais,08 - Abitbi-Témiscamingue,858-Îles de la Madeleine,11- Gaspésie ,12-Chaudière-Appalaches,14-Lanaudière,15- Laurentides,16- Montérégie,17 - Centre-du-Québec
1990,53.472,15.634,48.187,26.786,35.79,14.869,4.818,29.905,40.711,0.269,12.546,15.624,29.646,29.416,9.498,18.771
1991,53.312,18.867,46.584,25.768,32.412,6.948,3.727,19.896,31.317,0,17.808,9.691,23.729,23.275,4.46,8.662
1992,52.212,16.531,50.461,27.247,34.236,12.469,5.864,23.414,34.355,0,12.534,15.392,28.15,26.703,8.226,15.28
1993,51.3,19.414,49.711,28.102,34.542,14.108,6.682,24.168,34.89,2,16.144,15.968,27.779,27.888,11.089,16.083
1994,53.691,26.017,54.367,36.87,46.058,24.817,17.545,38.29,48.699,2.192,22.315,24.936,39.936,40.214,22.57,25.815
1995,39.025,10.184,31.777,15.603,21.676,7.427,3.318,15.473,21.3,0,8.057,8.516,18.032,18.553,4.166,8.191
1996,44.103,15.526,46.695,28.784,35.162,15.587,5.727,29.517,36.936,0,8.265,18.545,32.364,32.469,8.298,14.943
1997,39.767,11.533,33.475,18.45,22.374,10.033,6.273,18.136,27.832,0,6.929,12.131,18.475,18.901,7.23,11.013
1998,30.987,3.987,22.819,12.293,19.336,3.742,1.636,10.529,15.993,0,1.511,5.513,16.157,15.176,2.706,4.605
1999,32.014,10.507,33.47,17.644,23.515,6.427,2.409,16.353,22.732,0,5.281,9.36,20.293,18.705,3.604,6.369
2000,36.425,4.389,33.799,16.875,24.536,10.451,3.545,16.535,23.919,0,1.932,10.717,21.986,21.656,6.957,9.662
2001,36.437,3.357,34.355,15.936,22.476,4.606,1.273,13.867,23.16,0,2.034,7.169,18.625,18.883,4.281,7.911
2002,32.578,2.307,24.465,6.687,12.058,0.174,0,3.858,10.952,0,1.489,1.768,7.318,6.656,0,1
2003,35.212,11.175,34.705,22.565,28.913,12.765,9.636,22.601,25.322,0,6.1,14.621,25.982,26.28,10.251,14.834
2004,28.973,12.395,29.76,18.137,24.19,14.221,9.409,16.55,22.056,0,7.308,15.484,20.621,19.672,11.268,15.217
2005,45.198,10.178,42.717,22.14,36.679,9.315,5.227,21.314,32.247,0,4.927,10.328,26.757,25.154,6.562,8.745
2006,30.019,3.755,27.527,10.972,17.728,1.934,0,10.299,14.957,0,1.299,4.707,14.086,13.544,0.536,3.854
2007,26.881,6.049,29.076,16.99,20.967,9.465,0.591,12.796,20.718,0,2.272,10.675,14.379,14.297,4.881,7.898
2008,41.284,7.791,36.113,15.481,22.294,5.066,1.091,11.698,20.574,0,5.687,7.051,16.15,14.524,4.047,6.892
2009,40.014,11.034,36.105,23.794,30.859,6.54,3.864,20.166,28.148,0,7.724,12.678,26.236,24.868,5.621,8.777
2010,16.558,1.78,14.457,6.427,9.928,2.164,0,4.686,7.219,0,0.831,2.564,6.55,6.826,0.562,1.535
2011,25.22,4.617,27.274,12.422,20.182,3.141,1,10.263,19.389,0,2.267,3.118,11.925,12.601,1.97,3.49
