Nombre de jours >30 °C/Région,Ensemble de la province de Québec,01- Bas-St-Laurent,02-Saguenay-Lac-St-Jean,03-Capitale-Nationale,04- Mauricie,05 - Estrie,06 - Montréal,07- Outaouais,08 - Abitbi-Témiscamingue,858-Îles de la Madeleine,11- Gaspésie ,12-Chaudière-Appalaches,14-Lanaudière,15- Laurentides,16- Montérégie,17 - Centre-du-Québec
1990,1.093,2.966,2.632,1.379,3.122,0.897,6.909,5.763,2.504,0,0.941,1.927,2.818,1.811,5.562,3.803
1991,1.187,2.053,2.454,1.789,3.419,2.202,12.318,7.823,4.633,0,1.05,2.72,4.264,3.678,10.281,4.395
1992,0.365,1.309,1.309,1.183,1.971,0,1.318,1.603,1.499,0,0.365,0.809,1.871,0.96,1.383,0.522
1993,0.792,0.846,1.528,1.331,2.65,1.333,7.864,4.169,2.622,0,0.164,2.207,3.239,2.54,5.502,3.917
1994,0.663,0.992,1.156,1.712,2.694,3.676,5.818,4.71,2.77,0,0.135,3.102,4.404,4.115,5.57,4.076
1995,2.595,2.953,4.764,3.588,9.099,4.042,16.227,10.684,8.465,0,2.046,4.424,9.425,8.128,13.681,8.459
1996,0.976,0.956,2.616,0.847,1.947,0.446,3.136,1.68,0.786,0,0.537,0.748,1.268,1.229,2.247,1.178
1997,0.64,0.45,0.359,1.483,2.494,0.484,7.727,6.695,2.305,0,0.123,1.478,3.95,3.421,6.149,3.745
1998,1.125,1.497,0.988,0.934,2.826,1.343,8.773,7.566,5.766,0,0.311,2.102,3.654,5.068,6.906,4.204
1999,1.526,1.357,1.94,2,6.663,3.498,23.773,10.449,5.295,0,1.034,3.911,9.275,7.678,19.213,9.019
2000,0.18,0,0.062,0,0.108,0.038,1.136,0.023,0.54,0,0.005,0,1052.485,0.024,0.889,0.07
2001,2.039,1.531,2.069,2.766,5.942,5.296,24.409,13.405,11.251,0.462,1.183,4.303,919.769,9.328,18.345,10.108
