Températures moyennes en degré celcius,906 - René-Lévesques,902 - Duplessis,939 - Ungava (Sud),938 - Ungava (Nord)
1990,999.297,958.803,730.177,575.475
1991,885.203,851.863,780.726,491.788
1992,1087.187,920.637,768.745,562.031
1993,1084.423,997.267,692.237,552.772
1994,1153.528,1079.336,645.947,542.502
1995,1259.045,985.656,699.265,596.807
1996,1261.972,1056.796,698.158,611.043
1997,992.957,839.715,599.812,598.154
1998,1085.337,1021.325,652.453,620.770
1999,1042.749,1056.230,825.798,728.523
2000,1016.122,940.647,675.009,642.463
2001,959.703,933.405,768.353,625.590
2002,687.608,552.245,519.948,349.891
2003,1050.950,999.202,607.671,663.277
2004,819.604,904.437,723.047,688.343
2005,853.530,933.312,773.827,682.617
2006,912.745,911.765,655.502,653.115
2007,876.096,915.123,742.029,654.522
2008,1025.887,966.353,715.690,658.184
2009,860.553,876.049,707.391,668.399
2010,903.120,948.762,629.453,595.843
2011,963.726,982.860,599.800,513.658
2012,936.778,936.566,684.235,590.583
2013,921.527,897.669,724.309,532.742
2014,1041.089,999.648,712.093,607.965
2015,1042.871,1001.684,713.581,609.426
2016,1044.675,1003.746,715.086,610.905
2017,1046.501,1005.833,716.608,612.401
2018,1048.347,1007.945,718.148,613.915
2019,1050.214,1010.080,719.703,615.445
2020,1052.099,1012.237,721.275,616.993
2021,1054.002,1014.416,722.861,618.557
2022,1055.922,1016.615,724.463,620.138
2023,1057.859,1018.833,726.080,621.735
2024,1059.812,1021.070,727.710,623.348
2025,1061.779,1023.324,729.354,624.977
2026,1063.760,1025.596,731.011,626.622
2027,1065.753,1027.882,732.682,628.281
2028,1067.759,1030.183,734.364,629.957
2029,1069.776,1032.497,736.058,631.647
2030,1071.804,1034.825,737.764,633.352
2031,1073.841,1037.164,739.481,635.071
2032,1075.887,1039.513,741.208,636.805
2033,1077.940,1041.873,742.946,638.553
2034,1080.001,1044.241,744.693,640.315
2035,1082.068,1046.617,746.449,642.091
2050,1113.220,1082.538,773.604,670.223
2100,1188.597,1171.497,859.302,776.614
