Températures moyennes en degré celcius,906 - René-Lévesques,902 - Duplessis,939 - Ungava (Sud),938 - Ungava (Nord)
1990,0.200,-2.602,-2.485,-7.257
1991,0.049,-2.623,-2.237,-6.617
1992,-0.982,-3.459,-3.700,-8.181
1993,-0.706,-2.990,-2.728,-6.977
1994,-0.180,-2.485,-2.328,-6.212
1995,0.492,-1.805,-1.643,-5.334
1996,0.506,-1.207,-1.816,-4.895
1997,-0.292,-2.126,-2.229,-5.618
1998,2.082,-0.045,0.396,-4.120
1999,2.375,0.462,0.121,-3.761
2000,0.834,-0.783,-1.284,-4.587
2001,2.007,0.055,0.354,-3.694
2002,0.259,-2.094,-2.155,-6.575
2003,0.474,-0.884,-1.694,-4.401
2004,0.107,-1.178,-2.372,-5.520
2005,1.285,-0.290,-0.482,-4.091
2006,2.254,0.617,0.708,-2.897
2007,0.558,-1.393,-1.446,-5.433
2008,1.087,-0.695,-0.883,-4.898
2009,1.029,-0.728,-0.987,-4.897
2010,3.489,1.845,1.620,-1.536
2011,1.296,-0.692,-0.714,-4.808
2012,2.183,0.242,0.156,-3.987
2013,1.022,-0.921,-1.148,-5.123
2014,1.220,-0.834,-0.953,-4.767
2015,1.270,-0.784,-0.901,-4.711
2016,1.320,-0.732,-0.847,-4.653
2017,1.371,-0.681,-0.793,-4.595
2018,1.422,-0.629,-0.738,-4.536
2019,1.475,-0.576,-0.683,-4.477
2020,1.528,-0.522,-0.626,-4.416
2021,1.581,-0.468,-0.570,-4.355
2022,1.636,-0.413,-0.512,-4.293
2023,1.691,-0.357,-0.454,-4.231
2024,1.746,-0.301,-0.395,-4.167
2025,1.803,-0.245,-0.335,-4.103
2026,1.860,-0.187,-0.275,-4.038
2027,1.917,-0.129,-0.214,-3.973
2028,1.975,-0.071,-0.152,-3.907
2029,2.034,-0.012,-0.089,-3.840
2030,2.094,0.049,-0.026,-3.772
2031,2.154,0.109,0.038,-3.703
2032,2.215,0.170,0.102,-3.634
2033,2.276,0.231,0.167,-3.564
2034,2.338,0.294,0.233,-3.494
2035,2.401,0.356,0.300,-3.422
2050,3.400,1.367,1.374,-2.265
2100,7.700,5.532,5.921,2.718
